18:10:01 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(149.seriya.iz.150).Chjornye.dyry.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:15:02 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(144.seriya.iz.150).Sootnoshenie.razmerov.planet.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:16:42 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(086.seriya.iz.150).Formy.kosmicheskix.tel.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:22:34 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(137.seriya.iz.150).Galaktika.M51.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:24:17 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(022.seriya.iz.150).Radioastronomija.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:29:53 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(105.seriya.iz.150).Sozvezdie.Lebed.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:32:27 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(132.seriya.iz.150).Lokalnaja.gruppa.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:37:12 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(098.seriya.iz.150).Sirius.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:40:27 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(009.seriya.iz.150).Nikolaj.Kopernik.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:44:24 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(060.seriya.iz.150).Gory.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:46:56 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(062.seriya.iz.150).Vzgljad.so.sputnikov.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:51:11 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(121.seriya.iz.150).Zvjozdnyj.zoopark.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:55:17 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(093.seriya.iz.150).Orion.2002.DivX.SATRip.avi, audio:-1, size:512x384
18:57:58 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(036.seriya.iz.150).Orientirovanie.po.zvjozdam.2002.DivX.SATRip.avi, audio:-1, size:512x384
19:02:40 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(016.seriya.iz.150).Svet.2002.DivX.SATRip.avi, audio:-1, size:512x384
19:04:54 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(143.seriya.iz.150).Protjazhennost.Vselennoj.2002.DivX.SATRip.avi, audio:-1, size:512x384
19:09:50 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(101.seriya.iz.150).Sozvezdie.Rak.2002.DivX.SATRip.avi, audio:-1, size:512x384
19:12:25 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(037.seriya.iz.150).Ravnodenstvie.2002.DivX.SATRip.avi, audio:-1, size:512x384
19:17:19 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(138.seriya.iz.150).Galaktiki.M81.i.M82.2002.DivX.SATRip.avi, audio:-1, size:512x384
19:19:27 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(059.seriya.iz.150).Voda.i.ljod.2002.DivX.SATRip.avi, audio:-1, size:512x384
19:24:01 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(141.seriya.iz.150).Muzyka.Vselennoj.2002.DivX.SATRip.avi, audio:-1, size:512x384
19:26:24 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(117.seriya.iz.150).Katalog.Mese.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:29:06 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(006.seriya.iz.150).Arabskaja.astronomija.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:29:19 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(049.seriya.iz.150).Obratnaja.storona.Luny.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:33:31 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(029.seriya.iz.150).Rabota.Xabbla.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:33:32 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(005.seriya.iz.150).Zatmenija.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:37:45 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(142.seriya.iz.150).Traektorii.galaktik.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:37:56 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(038.seriya.iz.150).Poljarnoe.sijanie.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:41:54 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(136.seriya.iz.150).Gamma.istochniki.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:42:01 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(015.seriya.iz.150).Parad.planet.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:45:50 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(135.seriya.iz.150).Sozvezdie.Deva.Kvazary.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:46:02 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(014.seriya.iz.150).Oshibki.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:50:14 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(147.seriya.iz.150).Edinaja.model.Vselennoj.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:50:17 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(039.seriya.iz.150).Istorija.Luny.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:54:14 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(035.seriya.iz.150).Kratery.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:54:27 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(064.seriya.iz.150).Osobennosti.Merkurija.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:58:19 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(095.seriya.iz.150).Zvezda.Jeta.Kilja.2002.DivX.SATRip.avi, audio:-1, size:512x384
08:58:31 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(031.seriya.iz.150).MKS.2002.DivX.SATRip.avi, audio:-1, size:512x384
09:02:40 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(067.seriya.iz.150).Lica.Marsa.2002.DivX.SATRip.avi, audio:-1, size:512x384
09:03:02 DONE: file:/media/Movies/Документальные/Космическая Экспедиция/Kosmicheskaja.jekspedicija.(150.seriya.iz.150).Nachalo.i.konec.2002.DivX.SATRip.avi, audio:-1, size:512x384
10:20:58 DONE: file:/media/Movies/Документальные/Космос/Complete Cosmos Part 2.avi, audio:1, size:448x336
10:37:34 DONE: file:/media/Movies/Документальные/Космос/Complete Cosmos Part 1.avi, audio:-1, size:496x368
11:18:38 DONE: file:/media/Movies/Документальные/Космос/How The Universe Works/how.the.universe.works.s01e02.720p-dhd.mkv, audio:-1, size:512x288
11:19:00 DONE: file:/media/Movies/Документальные/Океан/Бездна_BBC.avi, audio:-1, size:512x384
11:45:23 DONE: file:/media/Music/Date/2013.01/Mike Oldfield - Exposed_Disco 1/VIDEO_TS/VTS_01_3.VOB, audio:-1, size:512x408
11:50:23 DONE: file:/media/Music/Date/2013.01/Mike Oldfield - Exposed_Disco 1/VIDEO_TS/VTS_01_6.VOB, audio:-1, size:512x408
12:11:31 DONE: file:/media/Music/Date/2013.01/Mike Oldfield - Exposed_Disco 1/VIDEO_TS/VTS_01_1.VOB, audio:-1, size:512x408
12:17:24 DONE: file:/media/Music/Date/2013.01/Mike Oldfield - Exposed_Disco 1/VIDEO_TS/VTS_01_5.VOB, audio:-1, size:512x408
12:40:24 DONE: file:/media/Music/Date/2013.01/Mike Oldfield - Exposed_Disco 1/VIDEO_TS/VTS_01_7.VOB, audio:-1, size:512x408
12:47:16 DONE: file:/media/Music/Date/2013.01/Mike Oldfield - Exposed_Disco 1/VIDEO_TS/VTS_01_4.VOB, audio:-1, size:512x408
13:05:50 DONE: file:/media/Music/Date/2013.01/Mike Oldfield - Exposed_Disco 1/VIDEO_TS/VTS_01_2.VOB, audio:-1, size:512x408
